측정일시,측정소명,이산화질소농도(ppm),오존농도(ppm),이산화탄소농도(ppm),아황산가스(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
20180101,중구,0.028,0.015,0.5,0.005,32,18
20180102,중구,0.037,0.012,0.8,0.005,33,20
20180103,중구,0.021,0.018,0.5,0.005,30,18
20180104,중구,0.036,0.009,0.7,0.005,38,24
20180105,중구,0.044,0.006,0.8,0.005,48,33
20180106,중구,0.033,0.015,0.7,0.005,38,26
20180107,중구,0.049,0.004,0.9,0.004,46,35
20180108,중구,0.048,0.006,0.9,0.005,52,40
20180109,중구,0.016,0.024,0.4,0.004,37,19
20180110,중구,0.015,0.023,0.4,0.003,28,12
20180111,중구,0.016,0.02,0.5,0.004,29,22
20180112,중구,0.026,0.018,0.5,0.003,20,14
20180113,중구,0.053,0.003,0.9,0.005,54,40
20180114,중구,0.044,0.008,0.8,0.005,67,54
20180115,중구,0.051,0.011,0.8,0.005,63,45
20180116,중구,0.074,0.004,1.4,0.007,99,76
20180117,중구,0.058,0.008,1,0.006,96,78
20180118,중구,0.039,0.016,0.8,0.005,78,56
20180119,중구,0.035,0.018,0.6,0.004,49,26
20180120,중구,0.047,0.015,0.9,0.006,85,56
20180121,중구,0.039,0.012,0.7,0.004,54,35
20180122,중구,0.05,0.003,0.8,0.004,38,21
20180123,중구,0.013,0.029,0.4,0.003,20,11
20180124,중구,0.013,0.029,0.3,0.004,25,10
20180125,중구,0.014,0.028,0.4,0.004,21,12
20180126,중구,0.016,0.027,0.4,0.004,28,18
20180127,중구,0.039,0.01,0.7,0.004,39,26
20180128,중구,0.019,0.028,0.5,0.004,26,18
20180129,중구,0.017,0.027,0.4,0.005,38,16
20180130,중구,0.043,0.008,0.7,0.004,34,20
20180131,중구,0.034,0.011,0.6,0.004,35,20
20180201,중구,0.038,0.013,0.7,0.004,34,22
20180202,중구,0.052,0.008,0.9,0.004,46,33
20180203,중구,0.017,0.026,0.4,0.003,32,19
20180204,중구,0.014,0.029,0.4,0.004,28,21
20180205,중구,0.018,0.025,0.4,0.003,23,15
20180206,중구,0.016,0.027,0.4,0.003,26,18
20180207,중구,0.036,0.015,0.6,0.004,34,24
20180208,중구,0.054,0.007,0.9,0.004,44,33
20180209,중구,0.064,0.005,1.1,0.006,63,48
20180210,중구,0.031,0.022,0.6,0.005,64,40
20180211,중구,0.017,0.028,0.4,0.004,43,14
20180212,중구,0.021,0.026,0.4,0.004,39,14
20180213,중구,0.034,0.018,0.5,0.004,41,15
20180214,중구,0.034,0.025,0.6,0.006,58,28
20180215,중구,0.016,0.031,0.4,0.004,31,14
20180216,중구,0.03,0.014,0.6,0.004,41,19
20180218,중구,0.029,0.019,0.6,0.004,30,16
20180219,중구,0.044,0.013,0.8,0.004,50,34
20180220,중구,0.034,0.019,0.7,0.004,56,38
20180221,중구,0.021,0.03,0.4,0.004,31,18
20180222,중구,0.04,0.019,0.6,0.005,38,26
20180223,중구,0.04,0.02,0.8,0.004,78,60
20180224,중구,0.026,0.027,0.6,0.004,68,50
20180225,중구,0.034,0.021,0.6,0.004,37,26
20180226,중구,0.061,0.009,0.9,0.007,55,38
20180227,중구,0.077,0.003,1.2,0.009,81,57
20180228,중구,0.05,0.01,0.8,0.005,65,46
20180301,중구,0.017,0.036,0.5,0.003,34,25
20180302,중구,0.035,0.021,0.5,0.004,57,24
20180303,중구,0.048,0.013,0.6,0.006,50,26
20180304,중구,0.039,0.015,0.6,0.005,26,18
20180305,중구,0.022,0.03,0.4,0.003,8,5
20180306,중구,0.03,0.021,0.5,0.003,25,15
20180307,중구,0.03,0.021,0.5,0.003,26,16
20180308,중구,0.02,0.028,0.5,0.003,26,22
20180309,중구,0.036,0.017,0.6,0.003,41,31
20180310,중구,0.037,0.021,0.6,0.005,40,30
20180311,중구,0.024,0.036,0.5,0.004,50,35
20180312,중구,0.056,0.016,0.8,0.005,76,53
20180313,중구,0.049,0.019,0.7,0.004,56,35
20180314,중구,0.028,0.027,0.4,0.004,20,11
20180315,중구,0.029,0.014,0.4,0.002,20,12
20180316,중구,0.02,0.031,0.4,0.002,13,7
20180317,중구,0.031,0.022,0.4,0.003,27,18
20180318,중구,0.042,0.021,0.6,0.004,54,41
20180319,중구,0.03,0.024,0.5,0.002,31,23
20180320,중구,0.017,0.037,0.4,0.002,17,8
20180409,중구,0.045,0.013,0.6,0.002,36,24
20180410,중구,0.041,0.021,0.6,0.003,38,19
20180411,중구,0.024,0.036,0.4,0.003,48,18
20180412,중구,0.03,0.031,0.4,0.004,37,13
20180413,중구,0.04,0.023,0.5,0.003,29,13
20180414,중구,0.018,0.037,0.4,0.002,18,11
20180415,중구,0.016,0.036,0.4,0.002,57,18
20180416,중구,0.028,0.034,0.5,0.002,31,19
20180417,중구,0.041,0.033,0.6,0.003,47,25
20180418,중구,0.038,0.041,0.5,0.003,54,27
20180419,중구,0.062,0.016,0.6,0.006,63,34
20180421,중구,0.058,0.029,0.7,0.005,63,37
20180422,중구,0.037,0.023,0.5,0.003,33,18
20180423,중구,0.024,0.037,0.4,0.002,9,7
20180424,중구,0.023,0.035,0.4,0.002,8,5
20180425,중구,0.037,0.029,0.5,0.003,29,21
20180426,중구,0.042,0.036,0.6,0.004,38,27
20180427,중구,0.043,0.039,0.5,0.005,50,35
20180428,중구,0.038,0.039,0.5,0.005,56,37
20180429,중구,0.033,0.055,0.6,0.005,48,28
20180430,중구,0.032,0.053,0.6,0.006,74,50
20180501,중구,0.022,0.038,0.5,0.003,56,39
